SIM_NUM,Profit,Cost,Revenue,Biomass,Harvest,GWP,ET,EUT,Elec
8206,31.57,100.42,131.99,32.9970524609775,68.47760203824515,893.372105652776,11543.167619782153,0.24333364354460474,994.2547730913311
8207,38.47,102.59,141.06,35.26491759764751,68.69279112448547,905.3006781937592,11792.100801624034,0.2452632177738102,994.2681006401814
8208,27.07,103.45,130.52,32.62927057251791,67.58975515985853,893.7978089651618,11553.177330970202,0.2434260768831023,994.4623514861552
8209,40.17,90.35,130.52,32.62927057251791,67.58975515985853,770.8233047405844,10195.311771738787,0.1966332317478438,738.2697085634596
8210,41.25,102.21,143.46,35.86551359468644,67.70941481952629,887.9931199455076,11489.568965754745,0.24119642166167088,982.1738892261278
8211,299.01,141.09,440.1,110.02401430188326,86.95913682281909,1258.2599574170201,15731.268974508705,0.3786453182184408,1720.8090396521618
8212,52.34,109.75,162.09,40.52200204216589,61.83311452906114,986.7188350280097,12694.225039950572,0.27614878856296116,1162.9937397057038
8213,264.5,123.22,387.72,96.93009751160662,92.73788850308551,1097.6770214027858,13940.806011924804,0.31791758147395727,1389.8441160229584
8214,299.98,140.32,440.3,110.07405971177437,86.95913682281909,1250.6853465120646,15647.497394859787,0.37576671531039385,1705.0629177064943
8215,352.42,146.4,498.82,124.7038053438466,86.78150492043537,1258.1774336705191,15746.93009861467,0.3783307442183069,1717.9112630424386
8216,262.26,140.69,402.95,100.73831033011854,83.90996516980687,1244.9542774944882,15467.332634221904,0.37621900001876735,1718.1749594757666
8217,299.9,140.2,440.1,110.02401430188326,86.95913682281909,1256.8957875531048,15715.175249292592,0.37813709411058205,1718.074674806728
8218,301.01,139.09,440.1,110.02401430188326,86.95913682281909,1238.1109470064741,15509.054749799856,0.37097503785752683,1678.7992589912749
8219,288.12,141.04,429.16,107.28971274240263,86.42858273195327,1258.460049148963,15732.019097717057,0.37875300805017814,1721.526564562123
8220,299.14,140.96,440.1,110.02401430188326,86.95913682281909,1256.9963259384792,15717.3302527407,0.3781643378123112,1718.1749594757666
8221,198.34,128.68,327.02,81.75479223597738,80.85211158960611,1149.814984292083,14701.372422901568,0.3336163391873051,1459.0630527181772
8222,198.77,128.25,327.02,81.75479223597738,80.85211158960611,1145.478393030711,14653.536847387408,0.331965687504806,1450.0232897265992
8223,143.29,122.54,265.83,66.45676938907326,75.28552582914524,1098.7811300423966,14129.630301189052,0.3143703236970649,1354.3928316780277
8224,193.77,125.49,319.26,79.81503329002763,82.36714092057022,1120.4573655760619,14374.386213216112,0.32250766414378973,1398.4941829739794
8225,198.87,128.23,327.1,81.77459528737377,80.85211158960611,1145.3868585172559,14652.442968102932,0.3319326059271924,1449.8492720235715
8226,202.98,133.11,336.09,84.02312485323199,81.02453780703604,1150.4016343899332,14716.684037835461,0.33371381103273595,1459.0630527181772
8227,109.44,127.82,237.26,59.31424707862441,72.53277852299621,1107.2151959839784,13817.043101512092,0.32673458919958775,1459.0630527181772
8228,199.23,127.79,327.02,81.75479223597738,80.85211158960611,1149.7531705295385,14699.457355808281,0.33360580865958805,1459.0630527181772
8229,200.78,126.24,327.02,81.75479223597738,80.85211158960611,1125.1261575891306,14429.019197047099,0.32421934349593395,1407.602194245641
8230,205.06,128.72,333.78,83.44524923069122,81.40998252593494,1149.8981500541215,14703.130893961777,0.33362980175807816,1459.0630527181777
8231,74.2,119.15,193.35,48.33761253151788,70.06964790712357,1006.9029008971099,12707.35913602325,0.2886441536704286,1250.8249566394156
8232,116.0,124.92,240.92,60.22941832110864,74.72327876879984,1053.6000444048525,13229.501410452052,0.30627999360234415,1346.8404226124637
8233,75.44,121.87,197.31,49.32654100666319,68.279354239625,1032.0957399610236,12987.275007351793,0.2981918068276004,1302.9431979576786
8234,74.11,119.16,193.27,48.31780948012148,70.06964790712357,1006.9087492627532,12707.486193916098,0.28864509536668315,1250.8248838165664
8235,87.62,116.13,203.75,50.93626645852339,71.36423185238363,1006.6354889051237,12699.865182175628,0.28859474737873764,1250.7834252672303
8236,139.16,119.89,259.05,64.76301060654649,76.38902525149214,1049.1678663874216,13584.659982062138,0.29547161163490715,1250.8237088483681
8237,73.05,120.3,193.35,48.33761253151788,70.06964790712357,1006.9992320730992,12710.00579965818,0.288664124842135,1250.8602511993856
8238,72.54,120.81,193.35,48.33761253151788,70.06964790712357,1023.7041185406164,12892.681429083266,0.29503941087896524,1285.8490752244302
8239,75.38,119.17,194.55,48.636649102202924,70.29495023945859,1006.9179695319617,12707.696052867148,0.28864638397475484,1250.8228972500563
8240,74.2,119.15,193.35,48.33761253151788,70.06964790712357,1006.9019129586089,12707.348238384086,0.28864377762799104,1250.8228972500572
8241,27.88,106.25,134.13,33.533018971125756,58.425974032976484,951.3670492850866,12293.611197054903,0.26293147794207056,1091.5739722983894
8242,27.88,106.25,134.13,33.533018971125756,58.425974032976484,951.3637001642467,12293.574253955314,0.26293020315465887,1091.5669909490302
8243,269.86,137.94,407.8,101.95021413832187,84.25592413381817,1223.4308039091486,15336.751142825808,0.3656243577097607,1650.452446928017
8244,25.56,100.22,125.78,31.44395164450698,65.06385461663945,893.7436030275496,11653.592039377505,0.24109092690893766,972.3417089174004
8245,27.91,106.25,134.16,33.540126828697524,58.425974032976484,951.3650263440384,12293.572351925774,0.2629310499050135,1091.5730196612933
8246,40.03,110.05,150.08,37.51982918575936,58.55993499347413,951.9199006817009,12308.5574536836,0.26300556803972097,1091.4070861461314
8247,14.96,106.16,121.12,30.278897498500214,56.986305182218246,938.0170688652998,12016.605789813106,0.26077497509601477,1091.5739722983894
8248,27.13,107.0,134.13,33.533018971125756,58.425974032976484,951.4687351313034,12295.76202781457,0.2629593357899667,1091.6784073638896
8249,27.76,106.37,134.13,33.533018971125756,58.425974032976484,952.6464214618646,12307.702828638701,0.2634188717573917,1094.2448950152038
